,class_0_mean,class_1_mean
account_age_days,974.26108,935.5552
total_orders,13.31892,12.9764
successful_orders,12.69124,12.30824
cancelled_orders,0.62768,0.66816
previous_returns,0.88876,1.05104
previous_refunds,0.53064,0.63172
previous_chargebacks,0.38672,0.77752
customer_chargeback_rate,0.026880868,0.06336505199999999
customer_return_rate,0.065568864,0.08380412
average_order_value,56.774439199999996,57.196073600000005
transaction_amount,63.6362356,69.1021948
transaction_hour,12.93796,12.93296
is_international,0.08836,0.11776
orders_last_24h,0.36804,0.48492
amount_vs_customer_avg,1.11862368,1.2093218799999998
device_age_days,443.23336,403.11276
multiple_accounts_same_device,0.06728,0.10972
ip_country_match,0.87936,0.8428
billing_shipping_match,0.8606,0.82508
login_after_purchase,0.08468,0.10164
product_shipped,0.95844,0.93252
delivery_confirmed,0.80648,0.7466
otp_verified,0.73632,0.68628
tracking_available,0.8104,0.7512
