,failed_defense_mean(0),successful_defense_mean(1)
transaction_amount,60.536403,61.012551
customer_account_age_days,748.6666,763.3345
previous_chargebacks,0.8525,0.8234
previous_refunds,1.1903,1.224
customer_order_count,13.4965,13.7066
payment_verified,0.6952,0.796
authentication_verified,0.6258,0.7304
delivery_confirmed,0.6491,0.7503
otp_verified,0.589,0.6941
tracking_available,0.6599,0.7721
shipping_address_match,0.6682,0.7975
billing_address_match,0.6781,0.81
device_consistent,0.6193,0.7602
transaction_authenticated,0.5984,0.7475
customer_identity_verified,0.5983,0.696
evidence_count,6.3813,7.5541
evidence_completeness,63.431819999999995,75.54489000000001
evidence_consistency,63.468830000000004,76.80855
response_time_hours,53.00816,42.30846
merchant_response_quality_score,64.5537,70.83548
