customer_id,account_age_days,total_orders,successful_orders,cancelled_orders,previous_returns,previous_refunds,previous_chargebacks,customer_chargeback_rate,customer_return_rate,average_order_value,transaction_id,transaction_amount,payment_method,transaction_hour,is_international,orders_last_24h,amount_vs_customer_avg,device_age_days,multiple_accounts_same_device,ip_country_match,billing_shipping_match,login_after_purchase,product_shipped,delivery_confirmed,otp_verified,tracking_available,chargeback_occurred
CUST102895,1307,12,12,0,0,0,0,0.0,0.0,41.59,TXN1000000,48.24,debit_card,15,0,0,1.16,388,0,1,1,0,1,1,1,1,1
CUST109895,611,11,10,1,0,0,0,0.0,0.0,45.86,TXN1000001,52.46,paypal,16,0,0,1.144,596,0,1,1,0,1,1,1,1,0
CUST111029,441,9,9,0,0,0,1,0.1111,0.0,84.86,TXN1000002,151.38,wallet,11,0,1,1.784,91,0,0,1,1,1,1,1,1,1
CUST127363,777,9,9,0,0,0,0,0.0,0.0,67.45,TXN1000003,53.05,credit_card,13,0,0,0.787,269,0,1,1,0,1,0,0,1,1
CUST101363,1462,16,15,1,1,1,2,0.125,0.0625,42.98,TXN1000004,23.35,wallet,17,0,0,0.543,553,0,1,0,0,1,1,1,0,1
CUST111787,1604,19,19,0,0,0,0,0.0,0.0,70.89,TXN1000005,84.35,credit_card,19,0,0,1.19,367,0,1,1,0,1,1,1,1,0
CUST128369,158,3,2,1,1,0,0,0.0,0.3333,43.67,TXN1000006,47.12,paypal,9,0,1,1.079,211,0,1,0,0,1,1,0,1,0
CUST126657,1450,23,22,1,3,1,1,0.0435,0.1304,52.78,TXN1000007,115.01,bank_transfer,18,0,0,2.179,386,1,1,0,0,1,1,1,1,1
CUST106023,554,7,5,2,0,0,0,0.0,0.0,114.54,TXN1000008,151.57,debit_card,12,0,0,1.323,347,0,1,1,1,1,1,1,0,0
CUST117430,2816,37,37,0,1,1,1,0.027,0.027,29.01,TXN1000009,15.23,debit_card,9,0,1,0.525,125,0,1,0,0,1,1,1,1,1
CUST129571,1884,30,29,1,0,0,1,0.0333,0.0,77.91,TXN1000010,74.45,credit_card,8,0,1,0.956,654,0,1,1,0,1,1,1,1,0
CUST120915,1174,21,20,1,2,2,2,0.0952,0.0952,76.38,TXN1000011,61.83,credit_card,11,0,0,0.81,216,0,1,1,0,0,0,1,0,0
CUST126148,582,9,7,2,0,0,1,0.1111,0.0,37.49,TXN1000012,22.63,bank_transfer,23,0,0,0.604,277,0,1,0,0,0,0,1,0,1
CUST115019,228,3,3,0,0,0,0,0.0,0.0,44.72,TXN1000013,29.91,debit_card,19,0,0,0.669,318,0,1,1,0,1,1,1,1,0
CUST123662,605,7,7,0,2,2,0,0.0,0.2857,51.61,TXN1000014,35.34,paypal,13,0,0,0.685,95,1,0,0,0,1,0,1,1,1
CUST105523,919,12,12,0,0,0,0,0.0,0.0,28.69,TXN1000015,28.52,debit_card,7,0,0,0.994,164,0,1,1,1,1,1,0,0,0
CUST120665,952,12,11,1,2,2,1,0.0833,0.1667,59.57,TXN1000016,127.48,bank_transfer,13,0,0,2.14,69,0,1,0,1,1,0,1,0,1
CUST126926,1643,17,17,0,2,2,0,0.0,0.1176,75.26,TXN1000017,106.28,wallet,16,0,0,1.412,289,0,1,1,0,1,1,1,1,1
CUST107485,940,10,9,1,0,0,0,0.0,0.0,41.94,TXN1000018,46.27,paypal,16,0,0,1.103,217,1,1,1,0,1,1,0,1,0
CUST108242,663,14,13,1,1,0,1,0.0714,0.0714,10.91,TXN1000019,8.78,paypal,15,0,0,0.805,648,0,1,1,0,1,1,1,1,0
CUST122840,545,4,3,1,0,0,0,0.0,0.0,69.09,TXN1000020,93.45,wallet,6,0,1,1.353,173,0,1,1,0,1,1,1,1,0
CUST128482,635,13,12,1,0,0,2,0.1538,0.0,35.18,TXN1000021,44.77,credit_card,23,0,0,1.273,516,0,1,1,0,1,1,1,1,0
CUST114622,1253,16,14,2,0,0,1,0.0625,0.0,40.87,TXN1000022,43.79,credit_card,11,0,0,1.071,1890,0,1,1,0,1,1,0,1,0
CUST129950,290,2,2,0,0,0,0,0.0,0.0,65.23,TXN1000023,23.42,debit_card,18,0,3,0.359,446,0,0,1,0,1,1,1,1,1
CUST114295,2372,32,32,0,1,1,1,0.0312,0.0312,61.66,TXN1000024,42.51,credit_card,16,1,0,0.689,151,0,1,1,0,1,1,0,1,1
CUST101041,513,6,6,0,1,1,0,0.0,0.1667,62.76,TXN1000025,33.1,credit_card,21,0,0,0.527,671,0,1,1,0,1,1,1,1,0
CUST118362,721,14,14,0,0,0,0,0.0,0.0,110.15,TXN1000026,61.38,credit_card,3,0,1,0.557,557,0,1,1,0,1,1,1,1,0
CUST128517,832,12,12,0,0,0,0,0.0,0.0,62.9,TXN1000027,43.99,debit_card,15,1,2,0.699,219,0,1,1,0,1,1,1,1,0
CUST125359,768,8,7,1,0,0,0,0.0,0.0,44.87,TXN1000028,44.61,debit_card,12,0,2,0.994,553,0,1,1,0,1,0,1,1,0
CUST117198,669,7,6,1,0,0,0,0.0,0.0,36.96,TXN1000029,41.44,paypal,10,1,0,1.121,195,0,1,1,0,1,0,0,1,0
CUST115213,1320,13,13,0,1,1,2,0.1538,0.0769,33.8,TXN1000030,29.66,debit_card,20,0,1,0.878,323,0,1,0,0,1,1,1,1,0
CUST117361,665,12,11,1,0,0,0,0.0,0.0,26.73,TXN1000031,55.87,credit_card,13,0,0,2.09,182,0,1,1,0,1,1,1,0,0
CUST130552,837,14,13,1,0,0,0,0.0,0.0,73.11,TXN1000032,102.92,credit_card,12,0,1,1.408,778,0,1,0,0,1,1,0,1,0
CUST119924,769,9,9,0,0,0,0,0.0,0.0,52.55,TXN1000033,38.22,credit_card,20,0,0,0.727,616,0,1,0,0,1,0,1,1,1
CUST102647,618,9,8,1,0,0,0,0.0,0.0,42.89,TXN1000034,27.03,debit_card,8,0,1,0.63,566,0,0,1,0,1,1,1,0,1
CUST117536,740,10,9,1,0,0,1,0.1,0.0,63.39,TXN1000035,14.26,credit_card,10,0,1,0.225,258,0,1,1,0,1,1,1,0,0
CUST131947,702,10,9,1,1,0,2,0.2,0.1,43.15,TXN1000036,23.8,credit_card,13,0,0,0.552,438,0,1,1,0,1,0,1,0,1
CUST126440,941,17,16,1,1,1,0,0.0,0.0588,52.98,TXN1000037,87.13,bank_transfer,8,0,1,1.645,353,0,1,1,0,1,1,1,1,0
CUST120496,1172,15,13,2,0,0,1,0.0667,0.0,52.69,TXN1000038,51.2,credit_card,15,0,1,0.972,382,0,1,1,0,1,1,1,1,1
CUST126957,1476,16,15,1,2,2,4,0.25,0.125,51.65,TXN1000039,103.62,paypal,17,0,0,2.006,215,0,1,1,0,1,0,1,1,1
