case_id,transaction_amount,customer_account_age_days,previous_chargebacks,previous_refunds,customer_order_count,dispute_reason,payment_verified,authentication_verified,delivery_confirmed,otp_verified,tracking_available,shipping_address_match,billing_address_match,device_consistent,transaction_authenticated,customer_identity_verified,evidence_count,evidence_completeness,evidence_consistency,response_time_hours,merchant_response_quality_score,defense_success
CASE200000,74.09,588,1,2,11,REFUND_NOT_RECEIVED,1,1,0,1,1,1,1,1,1,1,9,98.4,80.3,28.5,68.9,1
CASE200001,32.86,1110,1,0,27,PRODUCT_NOT_AS_DESCRIBED,1,1,1,0,1,1,0,1,1,0,7,60.7,54.8,20.4,72.4,0
CASE200002,82.88,772,0,0,7,PRODUCT_NOT_RECEIVED,1,0,0,0,0,0,1,1,1,0,4,31.1,90.6,138.7,54.6,0
CASE200003,79.34,343,1,0,10,TRANSACTION_NOT_RECOGNIZED,1,1,1,1,1,0,1,1,1,1,9,80.4,67.3,39.9,98.5,1
CASE200004,28.56,727,0,3,12,PRODUCT_NOT_AS_DESCRIBED,1,0,1,0,1,1,1,1,1,1,8,85.5,100.0,53.7,73.0,1
CASE200005,61.35,1140,0,2,15,PRODUCT_NOT_AS_DESCRIBED,0,1,0,0,0,0,0,1,0,0,2,24.1,34.0,16.5,68.0,0
CASE200006,51.68,758,1,1,17,FRAUDULENT_TRANSACTION,1,1,1,1,0,1,1,1,0,0,7,76.7,72.0,20.1,72.6,0
CASE200007,75.47,498,0,2,15,PRODUCT_NOT_AS_DESCRIBED,1,0,1,1,1,1,1,1,1,1,9,92.0,92.3,87.6,70.5,1
CASE200008,36.46,458,0,0,14,PRODUCT_NOT_RECEIVED,0,0,1,1,1,1,0,0,1,1,6,56.5,48.9,53.0,53.6,0
CASE200009,31.89,2345,1,1,35,PRODUCT_NOT_RECEIVED,1,1,1,1,0,0,1,1,1,1,8,80.5,60.6,36.2,77.4,1
CASE200010,17.69,216,2,0,2,TRANSACTION_NOT_RECOGNIZED,1,1,1,1,1,1,1,1,1,1,10,100.0,100.0,20.1,69.4,1
CASE200011,86.49,747,2,0,11,PRODUCT_NOT_AS_DESCRIBED,0,0,0,0,1,1,0,1,0,0,3,27.1,44.4,85.9,47.7,0
