,count,mean,std,min,25%,50%,75%,max
account_age_days,50000.0,954.90814,590.8650639970326,6.0,516.0,839.0,1269.0,3650.0
total_orders,50000.0,13.14766,7.403547310219304,1.0,8.0,12.0,17.0,54.0
successful_orders,50000.0,12.49974,7.106614525341883,0.0,7.0,11.0,16.0,54.0
cancelled_orders,50000.0,0.64792,0.8728200902237517,0.0,0.0,0.0,1.0,7.0
previous_returns,50000.0,0.9699,1.1629535842933647,0.0,0.0,1.0,1.0,9.0
previous_refunds,50000.0,0.58118,0.8544614734955542,0.0,0.0,0.0,1.0,7.0
previous_chargebacks,50000.0,0.58212,0.8823785340983478,0.0,0.0,0.0,1.0,10.0
customer_chargeback_rate,50000.0,0.045122960000000004,0.07332613450113416,0.0,0.0,0.0,0.0769,1.0
customer_return_rate,50000.0,0.074686492,0.09173657190186704,0.0,0.0,0.0526,0.125,1.0
average_order_value,50000.0,56.985256400000004,33.371937959595975,8.0,33.7775,49.1,71.2725,413.55
transaction_amount,50000.0,66.3692152,52.969730041922084,3.0,31.98,51.64,83.4425,813.21
transaction_hour,50000.0,12.93546,5.0266489764453075,0.0,10.0,13.0,17.0,23.0
is_international,50000.0,0.10306,0.3040402690593866,0.0,0.0,0.0,0.0,1.0
orders_last_24h,50000.0,0.42648,0.6753102475741128,0.0,0.0,0.0,1.0,6.0
amount_vs_customer_avg,50000.0,1.16397278,0.5526765697828047,0.162,0.776,1.05,1.425,6.74
device_age_days,50000.0,423.17306,318.5415532150537,0.0,190.0,346.0,573.0,2996.0
multiple_accounts_same_device,50000.0,0.0885,0.28402352611582676,0.0,0.0,0.0,0.0,1.0
ip_country_match,50000.0,0.86108,0.34586648590535835,0.0,1.0,1.0,1.0,1.0
billing_shipping_match,50000.0,0.84284,0.363955194588116,0.0,1.0,1.0,1.0,1.0
login_after_purchase,50000.0,0.09316,0.2906594296734258,0.0,0.0,0.0,0.0,1.0
product_shipped,50000.0,0.94548,0.22704316896134846,0.0,1.0,1.0,1.0,1.0
delivery_confirmed,50000.0,0.77654,0.41656824048645336,0.0,1.0,1.0,1.0,1.0
otp_verified,50000.0,0.7113,0.453162682850588,0.0,0.0,1.0,1.0,1.0
tracking_available,50000.0,0.7808,0.4137085726639731,0.0,1.0,1.0,1.0,1.0
