,count,mean,std,min,25%,50%,75%,max
transaction_amount,20000.0,60.774477000000005,43.736712506628976,5.0,32.04,49.335,76.3925,564.61
customer_account_age_days,20000.0,756.00055,534.7220460510528,4.0,363.0,637.0,1015.0,3650.0
previous_chargebacks,20000.0,0.83795,0.9686261969074895,0.0,0.0,1.0,1.0,7.0
previous_refunds,20000.0,1.20715,1.1510017887718018,0.0,0.0,1.0,2.0,9.0
customer_order_count,20000.0,13.60155,9.611628726071269,1.0,7.0,11.0,18.0,74.0
payment_verified,20000.0,0.7456,0.43553429773810615,0.0,0.0,1.0,1.0,1.0
authentication_verified,20000.0,0.6781,0.4672165499693137,0.0,0.0,1.0,1.0,1.0
delivery_confirmed,20000.0,0.6997,0.4583998435000017,0.0,0.0,1.0,1.0,1.0
otp_verified,20000.0,0.64155,0.47955718767923056,0.0,0.0,1.0,1.0,1.0
tracking_available,20000.0,0.716,0.45094807651035107,0.0,0.0,1.0,1.0,1.0
shipping_address_match,20000.0,0.73285,0.44248239177774257,0.0,0.0,1.0,1.0,1.0
billing_address_match,20000.0,0.74405,0.43640476619303525,0.0,0.0,1.0,1.0,1.0
device_consistent,20000.0,0.68975,0.4626074337728363,0.0,0.0,1.0,1.0,1.0
transaction_authenticated,20000.0,0.67295,0.4691474208232667,0.0,0.0,1.0,1.0,1.0
customer_identity_verified,20000.0,0.64715,0.47786849175769136,0.0,0.0,1.0,1.0,1.0
evidence_count,20000.0,6.9677,1.7088893250109138,0.0,6.0,7.0,8.0,10.0
evidence_completeness,20000.0,69.488355,17.793051776706307,0.0,57.4,70.6,82.9,100.0
evidence_consistency,20000.0,70.13869,24.12655691600712,0.0,53.0,73.6,91.6,100.0
response_time_hours,20000.0,47.65831,29.145064928464034,4.8,27.7,40.5,59.7,383.7
merchant_response_quality_score,20000.0,67.69458999999999,12.42426294986517,25.1,59.2,67.9,76.3,100.0
